      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
    2.17          0.0         0.0910530019        0        0.0910530019      0
    2.18          0.0         0.0862450611        0        0.0862450611      0
    2.19          0.0         0.0819086824        0        0.0819086824      0
    2.2           0.0         0.0779791304        0        0.0779791304      0
    2.21          0.0         0.0744027653        0        0.0744027653      0
    2.22          0.0         0.0711348115        0        0.0711348115      0
    2.23          0.0         0.0681376318        0        0.0681376318      0
    2.24          0.0         0.065379383         0        0.065379383       0
    2.25          0.0         0.0628329582        0        0.0628329582      0
    2.26          0.0         0.0604751503        0        0.0604751503      0
    2.27          0.0         0.0582859834        0        0.0582859834      0
    2.28          0.0         0.0562481759        0        0.0562481759      0
    2.29          0.0         0.0543467057        0        0.0543467057      0
    2.3           0.0         0.0525684567        0        0.0525684567      0
    2.31          0.0         0.050901928         0        0.050901928       0
    2.32          0.0         0.0493369953        0        0.0493369953      0
    2.33          0.0         0.0478647121        0        0.0478647121      0
    2.34          0.0         0.0464771451        0        0.0464771451      0
    2.35          0.0         0.0451672353        0        0.0451672353      0
    2.36          0.0         0.0439286817        0        0.0439286817      0
    2.37          0.0         0.0427558429        0        0.0427558429      0
    2.38          0.0         0.0416436536        0        0.0416436536      0
    2.39          0.0         0.040587553         0        0.040587553       0
    2.4           0.0         0.0395834242        0        0.0395834242      0
    2.41          0.0         0.0386275415        0        0.0386275415      0
    2.42          0.0         0.0377165254        0        0.0377165254      0
    2.43          0.0         0.0368473034        0        0.0368473034      0
    2.44          0.0         0.0360170761        0        0.0360170761      0
    2.45          0.0         0.0352232875        0        0.0352232875      0
    2.46          0.0         0.0344635995        0        0.0344635995      0
    2.47          0.0         0.0337358689        0        0.0337358689      0
    2.48          0.0         0.0330381281        0        0.0330381281      0
    2.49          0.0         0.0323685668        0        0.0323685668      0
    2.5           0.0         0.0317255174        0        0.0317255174      0
    2.51          0.0         0.0311074408        0        0.0311074408      0
    2.52          0.0         0.0305129142        0        0.0305129142      0
    2.53          0.0         0.0299406209        0        0.0299406209      0
    2.54          0.0         0.02938934          0        0.02938934        0
    2.55          0.0         0.0288579384        0        0.0288579384      0
    2.56          0.0         0.0283453625        0        0.0283453625      0
    2.57          0.0         0.027850632         0        0.027850632       0
    2.58          0.0         0.027372833         0        0.027372833       0
    2.59          0.0         0.0269111132        0        0.0269111132      0
    2.6           0.0         0.0264646761        0        0.0264646761      0
    2.61          0.0         0.0260327769        0        0.0260327769      0
    2.62          0.0         0.0256147184        0        0.0256147184      0
    2.63          0.0         0.0252098473        0        0.0252098473      0
    2.64          0.0         0.0248175503        0        0.0248175503      0
    2.65          0.0         0.024437252         0        0.024437252       0
    2.66          0.0         0.024068411         0        0.024068411       0
    2.67          0.0         0.0237105183        0        0.0237105183      0
    2.68          0.0         0.0233630945        0        0.0233630945      0
    2.69          0.0         0.0230256875        0        0.0230256875      0
    2.7           0.0         0.022697871         0        0.022697871       0
    2.71          0.0         0.0223792426        0        0.0223792426      0
    2.72          0.0         0.0220694219        0        0.0220694219      0
    2.73          0.0         0.0217680492        0        0.0217680492      0
    2.74          0.0         0.0214747843        0        0.0214747843      0
    2.75          0.0         0.0211893046        0        0.0211893046      0
    2.76          0.0         0.0209113048        0        0.0209113048      0
    2.77          0.0         0.020640495         0        0.020640495       0
    2.78          0.0         0.0203766003        0        0.0203766003      0
    2.79          0.0         0.0201193595        0        0.0201193595      0
    2.8           0.0         0.0198685243        0        0.0198685243      0
    2.81          0.0         0.0196238588        0        0.0196238588      0
    2.82          0.0         0.0193851384        0        0.0193851384      0
    2.83          0.0         0.0191521492        0        0.0191521492      0
    2.84          0.0         0.0189246875        0        0.0189246875      0
    2.85          0.0         0.0187025592        0        0.0187025592      0
    2.86          0.0         0.0184855791        0        0.0184855791      0
    2.87          0.0         0.0182735704        0        0.0182735704      0
    2.88          0.0         0.0180663644        0        0.0180663644      0
    2.89          0.0         0.0178638           0        0.0178638         0
